trialID	fulltrial	condition	optimal_decisions	total_decisions	world	suboptimal_steps	tau	optimal_steps	suboptimal_steps_orig	optimal_steps_orig	steps	revisits	optfract	name	path
14.mp4	1	suboptimal_lucky	0	2	roomG2	2	0.04	11	3	10	13	0	0.8461538462	14.mp4	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(4,3);p(5,3);p(5,4);p(5,5);p(6,5);p(7,5);
15.mp4	1	suboptimal_lucky	0	1	lab2	1	0.03	7	1	7	8	0	0.875	15.mp4	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(1,2);p(0,2);p(0,3);
16.mp4	1	optimal_unlucky	2	2	roomG2	0	0	19	0	19	19	3	1	16.mp4	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(2,3);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(5,2);p(5,3);p(5,4);p(5,5);p(6,5);p(7,5);
17.mp4	1	optimal_unlucky	2	2	courtyard2	0	0	10	0	10	10	0	1	17.mp4	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(3,4);p(4,4);p(5,4);
18.mp4	1	optimal_unlucky	1	1	bunker22	0	0	18	0	18	18	2	1	18.mp4	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(3,4);p(2,4);p(1,4);p(2,4);p(3,4);p(4,4);p(5,4);p(5,5);p(5,6);p(5,7);p(4,7);
19.mp4	1	optimal_unlucky	2	2	library2	0	0	18	0	18	18	2	1	19.mp4	p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,4);p(6,3);p(6,2);p(6,1);p(6,0);p(7,0);
20.mp4	1	optimal_fair	2	2	ikea2	0	0	16	0	16	16	2	1	20.mp4	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,2);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);p(4,5);p(5,5);p(5,6);
21.mp4	1	optimal_fair	2	2	lab2	0	0	12	0	12	12	2	1	21.mp4	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(3,2);p(4,2);p(3,2);p(2,2);p(1,2);p(0,2);p(0,3);
22.mp4	1	optimal_fair	2	2	cubicles2	0	0	13	0	13	13	0	1	22.mp4	p(0,0);p(1,0);p(2,0);p(2,1);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);p(4,5);p(4,6);p(4,7);p(5,7);
23.mp4	1	optimal_fair	2	2	library3	0	0	14	0	14	14	1	1	23.mp4	p(0,0);p(0,1);p(1,1);p(1,2);p(1,3);p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,4);p(7,4);
24.mp4	1	optimal_lucky	1	1	cathedral2	1	0	11	0	12	12	0	0.9166666667	24.mp4	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(3,2);p(3,1);p(3,0);p(4,0);p(5,0);p(6,0);p(6,1);
25.mp4	1	optimal_lucky	1	1	tworooms2	0	0	11	0	11	11	0	1	25.mp4	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(2,3);p(1,3);p(1,4);p(1,5);
26.mp4	1	optimal_lucky	1	1	museum2	0	0	9	0	9	9	0	1	26.mp4	p(0,0);p(1,0);p(2,0);p(2,1);p(3,1);p(4,1);p(4,0);p(5,0);p(6,0);
27.mp4	1	optimal_lucky	1	1	labyrinth2	0	0	10	0	10	10	0	1	27.mp4	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(2,5);p(3,5);p(4,5);
28.mp4	0	suboptimal_part	0	1	bunker3	1	0.02	7	1	7	8	0	0.875	28.mp4	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(1,4);
29.mp4	0	suboptimal_part	0	1	museum3	1	0.02	5	1	5	6	0	0.8333333333	29.mp4	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);
30.mp4	0	suboptimal_part	0	1	garden3	1	0.03	5	1	5	6	0	0.8333333333	30.mp4	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(2,1);
31.mp4	0	suboptimal_part	0	1	ikea3	1	0.01	7	1	7	8	0	0.875	31.mp4	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,4);
32.mp4	0	optimal_part	1	1	roomG3	0	0	8	0	8	8	0	1	32.mp4	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(2,3);
33.mp4	0	optimal_part	1	1	ikea3	0	0	8	0	8	8	0	1	33.mp4	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,2);
34.mp4	0	optimal_part	1	1	tworooms3	0	0	8	0	8	8	0	1	34.mp4	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(2,3);
35.mp4	0	optimal_part	1	1	labyrinth3	0	0	8	0	8	8	0	1	35.mp4	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(3,4);
