subject	date	video	rating	time	trialNo
S278591	22/June/2018	22.mp4	5	17903;2495;	25
S278591	22/June/2018	4.mp4	1	39378;7278;	26
S278591	22/June/2018	6.mp4	1	64501;1167;	27
S278591	22/June/2018	16.mp4	5	25478;	28
S278591	22/June/2018	29.mp4	3	18880;	29
S278591	22/June/2018	27.mp4	5	19810;	30
S278591	22/June/2018	20.mp4	5	21883;1895;	31
S278591	22/June/2018	35.mp4	4	20683;	32
S278591	22/June/2018	19.mp4	5	27982;	33
S278591	22/June/2018	8.mp4	2	28473;2080;	34
S278591	22/June/2018	34.mp4	5	12008;	35
S291923	22/June/2018	1.mp4	4	17194;2503;	1
S291923	22/June/2018	2.mp4	3	20307;4069;	2
S291923	22/June/2018	3.mp4	1	10520;	3
S291923	22/June/2018	33.mp4	4	23674;	4
S291923	22/June/2018	17.mp4	4	13569;6905;	5
S291923	22/June/2018	8.mp4	2	28626;	6
S291923	22/June/2018	9.mp4	2	39028;12915;	7
S291923	22/June/2018	34.mp4	4	17106;	8
S291923	22/June/2018	32.mp4	4	24759;	9
S291923	22/June/2018	7.mp4	2	44385;5956;	10
S291923	22/June/2018	19.mp4	5	30298;	11
S291923	22/June/2018	25.mp4	5	77103;	12
S291923	22/June/2018	16.mp4	5	37300;5731;	13
S291923	22/June/2018	20.mp4	5	30575;35224;	14
S291923	22/June/2018	4.mp4	2	45416;3773;	15
S291923	22/June/2018	22.mp4	5	21542;14140;	16
S291923	22/June/2018	31.mp4	3	21491;24910;	17
S291923	22/June/2018	6.mp4	1	76624;5525;	18
S291923	22/June/2018	12.mp4	4	29097;4622;	19
S291923	22/June/2018	14.mp4	5	23847;7379;	20
S291923	22/June/2018	21.mp4	2	37697;	21
S291923	22/June/2018	10.mp4	4	30810;8642;	22
S291923	22/June/2018	18.mp4	4	41154;	23
S291923	22/June/2018	29.mp4	2	14073;	24
S291923	22/June/2018	26.mp4	4	51576;	25
S291923	22/June/2018	35.mp4	4	12424;	26
S291923	22/June/2018	27.mp4	5	15006;	27
S291923	22/June/2018	24.mp4	5	36855;	28
S291923	22/June/2018	11.mp4	2	48046;8831;	29
S291923	22/June/2018	30.mp4	3	13848;	30
S291923	22/June/2018	5.mp4	3	38255;2111;	31
S291923	22/June/2018	15.mp4	5	25538;1568;	32
S291923	22/June/2018	13.mp4	5	19488;	33
S291923	22/June/2018	23.mp4	5	20292;3499;	34
S291923	22/June/2018	28.mp4	4	16994;	35
S295043	22/June/2018	1.mp4	3	36710;	1
S295043	22/June/2018	2.mp4	3	24066;	2
S295043	22/June/2018	3.mp4	4	1368;	3
S295043	22/June/2018	5.mp4	5	44402;	4
S295043	22/June/2018	14.mp4	3	21909;	5
S295043	22/June/2018	11.mp4	4	47804;	6
S295043	22/June/2018	30.mp4	3	19253;	7
S295043	22/June/2018	23.mp4	4	26946;	8
S295043	22/June/2018	4.mp4	4	53869;	9
S295043	22/June/2018	15.mp4	3	29561;	10
S295043	22/June/2018	28.mp4	2	15156;	11
S295043	22/June/2018	6.mp4	2	75238;	12
S295043	22/June/2018	16.mp4	5	27362;	13
S295043	22/June/2018	22.mp4	4	38993;	14
S295043	22/June/2018	19.mp4	4	42318;	15
S295043	22/June/2018	31.mp4	3	21201;	16
S295043	22/June/2018	10.mp4	5	45165;	17
S295043	22/June/2018	17.mp4	5	29981;	18
S295043	22/June/2018	20.mp4	4	31808;	19
S295043	22/June/2018	7.mp4	2	45238;	20
S295043	22/June/2018	29.mp4	3	13537;	21
S295043	22/June/2018	35.mp4	3	15690;	22
S295043	22/June/2018	9.mp4	3	49495;	23
S295043	22/June/2018	18.mp4	3	44928;	24
S295043	22/June/2018	8.mp4	4	84184;	25
S295043	22/June/2018	34.mp4	3	21572;	26
S295043	22/June/2018	24.mp4	5	47387;	27
S295043	22/June/2018	27.mp4	4	29313;	28
S295043	22/June/2018	21.mp4	4	23290;	29
S295043	22/June/2018	13.mp4	4	23083;	30
S295043	22/June/2018	12.mp4	5	21702;	31
S295043	22/June/2018	26.mp4	4	24443;	32
S295043	22/June/2018	25.mp4	5	18391;	33
S295043	22/June/2018	33.mp4	3	23526;	34
S295043	22/June/2018	32.mp4	4	30676;	35
S31377411	26/June/2018	1.mp4	5	21590;300704;	1
S31377411	26/June/2018	2.mp4	3	26131;24063;	2
S31377411	26/June/2018	3.mp4	1	4802;	3
S31377411	26/June/2018	28.mp4	4	18447;	4
S31377411	26/June/2018	31.mp4	4	16942;2874;	5
S31377411	26/June/2018	30.mp4	2	13490;	6
S31377411	26/June/2018	22.mp4	5	23774;2646;	7
S31377411	26/June/2018	12.mp4	5	20795;704;	8
S31377411	26/June/2018	21.mp4	4	31943;	9
S31377411	26/June/2018	6.mp4	1	93214;710;	10
S31377411	26/June/2018	18.mp4	4	29673;	11
S31377411	26/June/2018	26.mp4	5	13236;	12
S31377411	26/June/2018	19.mp4	3	27029;	13
S31377411	26/June/2018	34.mp4	4	15539;	14
S31377411	26/June/2018	23.mp4	3	21225;3753;	15
S31377411	26/June/2018	5.mp4	1	1085929;	16
S31377411	26/June/2018	17.mp4	4	16417;38767;	17
S31377411	26/June/2018	20.mp4	3	23646;7735;	18
S31377411	26/June/2018	32.mp4	3	15232;	19
S31377411	26/June/2018	14.mp4	5	-3027193;	20
S31377411	26/June/2018	10.mp4	3	27458;1940;	21
S31377411	26/June/2018	13.mp4	5	22263;3677;	22
S31377411	26/June/2018	35.mp4	2	16247;	23
S31377411	26/June/2018	16.mp4	2	506979;	24
S31377411	26/June/2018	11.mp4	1	42708;4106;	25
S31377411	26/June/2018	4.mp4	1	42729;4544;	26
S31377411	26/June/2018	7.mp4	1	55129;4525;	27
