subject	date	maze	trialNo	optimal_steps	steps_in_tree	steps	decisions	opt_decisions	path	times
S607333	26/October/2016	garden	10	6	9	12	2	0	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(3,2);p(4,2);p(5,2);p(6,2);p(7,2);p(7,1);p(7,0);	1272;463;1108;598;2684;556;510;1299;399;913;367;
S607333	26/October/2016	ikea	11	16	16	21	4	4	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,2);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);p(4,5);p(5,5);p(5,6);p(5,7);p(4,7);p(3,7);p(2,7);p(1,7);	996;438;412;1042;384;552;1154;384;1898;402;480;576;1026;608;690;480;617;481;400;416;
S607333	26/October/2016	courtyard	12	8	9	11	3	2	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);p(3,3);p(3,2);p(2,2);	2288;351;419;608;802;528;368;550;508;608;
S607333	26/October/2016	bunker3	13	11	12	15	3	2	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(1,4);p(0,4);p(1,4);p(2,4);p(3,4);p(4,4);p(5,4);p(5,5);	1080;14502;840;402;29756;812;2464;348;1858;416;454;428;912;370;
S607333	26/October/2016	library	14	15	16	18	4	3	p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,2);p(6,1);p(6,2);p(6,3);p(6,4);p(7,4);	1801;447;706;432;834;1040;386;432;559;369;450;2130;368;650;583;395;624;
S607333	26/October/2016	roomG	15	13	13	17	3	3	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(2,3);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(5,2);p(6,2);p(7,2);p(7,1);	1391;561;673;4334;484;443;835;898;1024;402;384;400;848;611;671;368;
S622759	26/October/2016	museum	4	6	6	9	2	2	p(0,0);p(1,0);p(2,0);p(2,1);p(3,1);p(4,1);p(4,0);p(5,0);p(6,0);	1608;368;1191;1256;576;976;552;240;
S622759	26/October/2016	ikea	5	11	12	17	3	2	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,4);p(3,5);p(4,5);p(5,5);p(5,6);p(5,7);p(4,7);p(3,7);p(2,7);p(1,7);	741;311;992;1000;256;384;2944;664;1104;432;1352;280;809;255;344;368;
S622759	26/October/2016	library	6	15	16	18	4	3	p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,2);p(6,1);p(6,2);p(6,3);p(6,4);p(7,4);	1061;343;1186;406;1672;792;264;336;592;288;312;1520;528;1272;255;337;513;
S622759	26/October/2016	cathedral	7	12	16	18	6	5	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(3,2);p(3,1);p(3,0);p(3,1);p(3,2);p(4,2);p(5,2);p(4,2);p(3,2);p(3,3);p(3,4);p(3,5);p(2,5);	1501;312;624;360;744;936;560;2344;288;1424;353;1815;240;272;336;368;608;
S622759	26/October/2016	bunker3	8	15	18	21	5	3	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(1,4);p(0,4);p(1,4);p(0,4);p(0,5);p(0,6);p(0,5);p(0,4);p(1,4);p(2,4);p(3,4);p(4,4);p(5,4);p(5,5);	912;440;1144;288;280;392;1080;280;928;464;288;536;992;216;240;314;254;304;1432;216;
S622759	26/October/2016	cubicles	9	9	9	13	4	4	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);p(4,5);p(5,5);p(5,6);p(5,7);	2236;288;968;264;488;424;584;536;1601;3815;448;369;
S622759	26/October/2016	courtyard	10	5	5	7	2	2	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(2,2);	1515;272;272;1016;288;840;
